Date,Dividends
1987-05-11,0.000535714
1987-08-10,0.000535714
1987-11-17,0.000714286
1988-02-12,0.000714286
1988-05-16,0.000714286
1988-08-15,0.000714286
1988-11-21,0.000892857
1989-02-17,0.000892857
1989-05-22,0.000892857
1989-08-21,0.000892857
1989-11-17,0.000982143
1990-02-16,0.000982143
1990-05-21,0.000982143
1990-08-20,0.000982143
1990-11-16,0.001071429
1991-02-15,0.001071429
1991-05-20,0.001071429
1991-08-19,0.001071429
1991-11-18,0.001071429
1992-02-14,0.001071429
1992-06-01,0.001071429
1992-08-17,0.001071429
1992-11-30,0.001071429
1993-02-12,0.001071429
1993-05-28,0.001071429
1993-08-16,0.001071429
1993-11-19,0.001071429
1994-02-07,0.001071429
1994-05-27,0.001071429
1994-08-15,0.001071429
1994-11-18,0.001071429
1995-02-13,0.001071429
1995-05-26,0.001071429
1995-08-16,0.001071429
1995-11-21,0.001071429
2012-07-24,0.094642855
2012-10-25,0.094642855
2013-01-23,0.094642855
2013-04-23,0.10892857
2013-07-23,0.10892857
2013-10-28,0.10892857
2014-01-27,0.10892857
2014-04-23,0.1175
2014-07-22,0.1175
2014-10-20,0.1175
2015-01-27,0.1175
2015-04-27,0.13
2015-07-21,0.13
2015-10-27,0.13
2016-01-26,0.13
2016-04-26,0.1425
2016-07-26,0.1425
2016-10-25,0.1425
2017-01-31,0.1425
2017-05-02,0.1575
2017-08-01,0.1575
2017-11-02,0.1575
2018-02-01,0.1575
2018-05-01,0.1825
2018-07-31,0.1825
2018-11-01,0.1825
2019-01-29,0.1825
2019-04-30,0.1925
2019-07-30,0.1925
2019-10-30,0.1925
2020-01-28,0.1925
2020-05-08,0.205
2020-07-30,0.205
2020-10-29,0.205
2021-01-27,0.205
2021-04-28,0.22
2021-07-27,0.22
2021-10-28,0.22
2022-01-27,0.22